Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion 
2024,1,1,0,2.5,91.9,0.00287,87.9,3.9,325,2
2024,1,2,0,2.5,82.5,0.00241,126.1,3.1,293,2
2024,1,3,0,1.9,96.3,0.00277,123.6,2.3,226,2
2024,1,4,0,2.3,99.7,0.00262,127.4,4,352,2
2024,1,5,8.7,2.3,76.2,0.00202,130,3.3,84,2
2024,1,6,24.7,2.3,64.5,0.00301,64.2,3.5,28,2
2024,1,7,0,3,96.5,0.0032,117.1,4.6,275,2
2024,1,8,10.6,2.5,81.4,0.00274,130.1,3.8,74,2
2024,1,9,59.8,3,100,0.00586,46.1,10,167,2
2024,1,10,0,3.1,93.6,0.00322,111.3,6.5,246,2
2024,1,11,0,2.8,98.4,0.00331,131.5,3,227,2
2024,1,12,24.6,1.9,100,0.0046,92.1,4.2,141,2
2024,1,13,0,2.8,100,0.00318,131,5.9,260,2
2024,1,14,0,3.3,77.8,0.00247,135.4,3.3,247,2
2024,1,15,0.8,1.4,80.6,0.00355,73.7,2.1,112,2
2024,1,16,1.4,0.5,100,0.00348,73.3,3.3,343,2
2024,1,17,0,2.1,67.2,0.00132,142.9,3.2,254,2
2024,1,18,0,2.8,77.1,0.00188,137.3,3.2,205,2
2024,1,19,0,3,94.8,0.00253,101.6,5.2,280,2
2024,1,20,0,2.2,57.8,0.00111,131.1,5.1,333,2
2024,1,21,0,1.7,59.9,0.00115,144.7,1.8,325,2
2024,1,22,0,2.2,61.1,0.00134,144.1,1.6,174,2
2024,1,23,0.7,1.6,72.5,0.00338,44.9,1.7,68,2
2024,1,24,12.8,2,94.6,0.0062,35.9,2.5,116,2
2024,1,25,13.9,3.1,69.2,0.00899,60.5,3.9,184,2
2024,1,26,0,2.9,100,0.00926,134.8,4.2,216,2
2024,1,27,41.9,1.9,97.9,0.0084,49.1,3.8,124,2
2024,1,28,0,3,99.9,0.00551,95.5,6.5,254,2
2024,1,29,0,3.4,93.7,0.00332,149.1,4,343,2
2024,1,30,3.1,2.5,94.2,0.00336,144.5,2.9,137,2
2024,1,31,0,1.4,100,0.0042,104.3,2.1,23,2
2024,2,1,1.2,2.7,100,0.00374,158.3,2.8,239,2
2024,2,2,0,3.5,100,0.00417,153.9,2.8,327,2
2024,2,3,0,2.8,100,0.00361,159.6,3.7,70,2
2024,2,4,0,3.5,80.5,0.00288,164.7,4.1,67,2
2024,2,5,0,4.2,67.6,0.00296,163.3,4.3,47,2
2024,2,6,0,3.7,80.9,0.00277,167.3,5,40,2
2024,2,7,0,3,69.4,0.00229,170.1,2.5,50,2
2024,2,8,0,2.8,76.3,0.0025,169,1.9,186,2
2024,2,9,0.6,3.5,57.6,0.00381,104.1,3.3,225,2
2024,2,10,6.4,4.1,82.6,0.00678,144.1,4.1,221,2
2024,2,11,13.4,1.7,85.3,0.00825,84.1,3.4,198,2
2024,2,12,8.4,2.2,82,0.00655,81.6,3.5,169,2
2024,2,13,0,4,83.7,0.00359,178.4,5.9,296,2
2024,2,14,0,4.3,73.3,0.00299,177.9,3.4,275,2
2024,2,15,0,4.9,94.6,0.00394,179.9,4.4,230,2
2024,2,16,0,3.3,76.1,0.00442,161.7,3.3,220,2
2024,2,17,0,2.5,98.1,0.00331,158.5,4.9,324,2
2024,2,18,0,2.9,57.1,0.00175,185.4,2.6,269,2
2024,2,19,0,3.1,65.9,0.00208,191,1.9,359,2
2024,2,20,0,3.4,73.5,0.00246,192.5,2.6,85,2
2024,2,21,0,3.3,79.4,0.00286,192.3,2.4,131,2
2024,2,22,0,5.3,82.4,0.00416,183.2,5.3,204,2
2024,2,23,0,2.9,100,0.00539,86,4.9,248,2
2024,2,24,0,4.7,96.5,0.00328,86.6,4.5,284,2
2024,2,25,0,5.5,71.5,0.00273,202.7,2.8,248,2
2024,2,26,0,6.6,94.2,0.00431,196.6,4.9,214,2
2024,2,27,1.4,4.7,100,0.00635,105.6,6.7,199,2
2024,2,28,0,3,100,0.00672,141.5,8.3,232,2
2024,2,29,0,6,53.6,0.00212,208.3,2.9,32,2
2024,3,1,26.5,2.2,69.7,0.00395,75.4,4.2,80,2
2024,3,2,0,2.9,100,0.00708,196.5,2.2,135,2
2024,3,3,0,3.5,100,0.00673,197.5,2.6,164,2
2024,3,4,0,3.6,100,0.00717,207.7,3,67,2
2024,3,5,8,3.3,100,0.00713,211.7,2.2,173,2
2024,3,6,10.7,1.5,86.3,0.00805,68.4,2.8,63,2
2024,3,7,0,4.1,87.4,0.00714,209,2.8,68,2
2024,3,8,17.3,3.7,74.8,0.00645,111.2,4.8,107,2
2024,3,9,13.5,1.6,100,0.00674,94.2,3.9,132,2
2024,3,10,0,4.9,78,0.00321,237,5.7,299,2
2024,3,11,0,5.7,64.1,0.00255,241.7,4.2,271,2
2024,3,12,0,6.2,82.4,0.00349,241,3.4,245,2
2024,3,13,0,6,76.4,0.00412,238.6,2.8,242,2
2024,3,14,0,6.6,88.8,0.00531,237.6,3,229,2
2024,3,15,12.2,3.5,85.7,0.00789,153.1,4.1,241,2
2024,3,16,0,4.8,87.2,0.00675,234.3,2.6,285,2
2024,3,17,0,5.5,84,0.00596,184.3,4.2,253,2
