Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion 
2024,1,1,0,1.8,69,0.00233,118.5,5,348,1
2024,1,2,0,2.3,82.4,0.00202,121.2,2.8,334,1
2024,1,3,0,1.9,76,0.00185,111.3,2.5,270,1
2024,1,4,0,1.5,100,0.00216,123.3,4.8,15,1
2024,1,5,14.2,2.5,86.6,0.00186,123.9,5.7,153,1
2024,1,6,8.7,3.8,77.3,0.0036,90.1,8.9,198,1
2024,1,7,0,1.9,98.6,0.00277,110.8,7,288,1
2024,1,8,39.5,4,90.7,0.0024,110.6,10.5,141,1
2024,1,9,57.3,3.6,100,0.00411,56.6,16.7,186,1
2024,1,10,0,2.7,82.5,0.00245,124.3,8.3,256,1
2024,1,11,0,3.9,90.7,0.00265,126,5.7,237,1
2024,1,12,18,2.2,100,0.00383,67.1,14,175,1
2024,1,13,0,3.1,70.8,0.00209,129.7,8.5,265,1
2024,1,14,0.6,3.7,50.3,0.00219,127.7,5.7,254,1
2024,1,15,16.1,2.3,71.2,0.00313,47.2,6.4,213,1
2024,1,16,0,1.1,100,0.00206,124.5,5.9,328,1
2024,1,17,0,2.3,52.8,0.00079,135.5,3.6,268,1
2024,1,18,1.6,4,54.1,0.00115,123.9,7.1,207,1
2024,1,19,0.8,1.6,100,0.0021,108.5,8.4,298,1
2024,1,20,0,1.3,71.5,0.00095,136.9,7,345,1
2024,1,21,0,2.3,86.1,0.00118,137.5,3.9,105,1
2024,1,22,0,3.8,94.9,0.00202,135.6,7.4,183,1
2024,1,23,0,2.9,84,0.00438,41.3,9.1,173,1
2024,1,24,9.6,4.5,85,0.00558,72,9.5,174,1
2024,1,25,27,4,79.9,0.00671,43.9,8.5,195,1
2024,1,26,0,3.2,100,0.00656,135.1,4.1,256,1
2024,1,27,21.4,2.4,100,0.00611,41.5,6.9,175,1
2024,1,28,2.1,2.6,79.3,0.00346,90.6,10.6,283,1
2024,1,29,0,2.3,99,0.00289,140.6,5.9,357,1
2024,1,30,5.2,3.2,96.3,0.00277,139.6,4.8,223,1
2024,1,31,0,1.7,100,0.00311,143.9,4.3,349,1
2024,2,1,0,3.3,79.8,0.00248,152.3,2.9,289,1
2024,2,2,0,3.7,98.8,0.00362,147.4,4,318,1
2024,2,3,0,2.7,100,0.00367,152.4,3.7,145,1
2024,2,4,0,3.9,75.7,0.00237,157.4,6.6,117,1
2024,2,5,0,4.7,79.7,0.00265,153.8,4.7,75,1
2024,2,6,0,3.8,99.1,0.00286,158.4,3.9,40,1
2024,2,7,0,3.7,85.3,0.00246,161.2,2.4,192,1
2024,2,8,0,5.8,67.5,0.00219,150.9,5.7,197,1
2024,2,9,4.3,3.2,82,0.00561,82.4,7.8,222,1
2024,2,10,55,3.9,86.8,0.00667,127.8,5.8,234,1
2024,2,11,3.3,2.4,87.6,0.00715,108.7,3.4,223,1
2024,2,12,24.1,1.1,100,0.00664,103.4,8.2,198,1
2024,2,13,0,2.7,94.7,0.00299,170.5,7.5,318,1
2024,2,14,0,4,86.8,0.00278,169.1,4.3,281,1
2024,2,15,0,5.6,100,0.00355,171.1,6.9,242,1
2024,2,16,2.7,3.3,100,0.00469,151.7,6.1,220,1
2024,2,17,0.3,1.6,92.2,0.00239,167.6,6.3,343,1
2024,2,18,0,3.5,54.2,0.00138,181.7,3.4,294,1
2024,2,19,0,3.2,73,0.00186,182.1,2.1,296,1
2024,2,20,0,3.2,89.1,0.00238,181.7,2.5,220,1
2024,2,21,0,4.4,99.5,0.00298,179.7,4.9,203,1
2024,2,22,0,6,100,0.00457,164.6,10.2,220,1
2024,2,23,0,3.2,100,0.00462,141.9,7.8,299,1
2024,2,24,0,5.9,92.1,0.00293,124.3,7.3,302,1
2024,2,25,0,5.8,61.9,0.00245,180.2,4.5,228,1
2024,2,26,0,7.5,95.6,0.00414,185.2,9.1,221,1
2024,2,27,0,3.9,100,0.00639,139.4,13.4,206,1
2024,2,28,0,3.9,100,0.00556,106.4,11.9,255,1
2024,2,29,0,5.6,54.9,0.00159,196.6,4.4,58,1
2024,3,1,31.8,2.2,77.8,0.0039,59.5,9.5,151,1
2024,3,2,0,3.5,100,0.00633,189.2,3.8,216,1
2024,3,3,0,5,100,0.0055,204.8,4.2,185,1
2024,3,4,0,3.5,100,0.0076,177.7,3.6,194,1
2024,3,5,20,4.3,100,0.00665,180.1,5.9,168,1
2024,3,6,12.2,2.1,80.2,0.00684,62.8,4,147,1
2024,3,7,0,4.5,76.1,0.00599,207.6,2.9,65,1
