Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion 
2024,1,1,0,2,98.5,0.00245,120.8,5.9,346,1
2024,1,2,0,2.5,86.5,0.00211,125.3,2.8,354,1
2024,1,3,0,1.6,88.3,0.00219,108.5,2.3,318,1
2024,1,4,0,3.1,89,0.00224,127.1,5.3,14,1
2024,1,5,27.2,3.3,73.8,0.00212,127,7.4,123,1
2024,1,6,6.8,3.5,74,0.0034,98.5,6.9,168,1
2024,1,7,0,1.8,100,0.00292,121.3,6.8,305,1
2024,1,8,50,3.5,83.5,0.00248,89.2,10.7,123,1
2024,1,9,39,2.5,100,0.00459,63.1,14.9,189,1
2024,1,10,0,2.3,93.3,0.00254,128.5,6.9,267,1
2024,1,11,0,3.2,100,0.00322,128.7,4.2,237,1
2024,1,12,20.2,2.2,100,0.0038,52.7,11.1,155,1
2024,1,13,0,2.5,88.2,0.00212,133.5,7.4,285,1
2024,1,14,0,2.9,83,0.00225,131.5,4.3,287,1
2024,1,15,1.4,1.9,84.7,0.00312,43.2,3.5,187,1
2024,1,16,0,1.2,100,0.00201,128.3,7.2,340,1
2024,1,17,0,2.2,66.1,0.00086,139.4,3.6,322,1
2024,1,18,2.2,4,59.6,0.00125,126.2,5.8,175,1
2024,1,19,0,1.4,100,0.00214,136.6,8.8,315,1
2024,1,20,0,1.8,76.2,0.00091,143.1,8.2,352,1
2024,1,21,0,2.5,78,0.00098,142.9,3.4,107,1
2024,1,22,0,3.9,64.4,0.00184,139.1,7.1,139,1
2024,1,23,2.5,3.2,81.9,0.00473,44.4,8,135,1
2024,1,24,22.1,3.9,78.8,0.00649,46.4,8.3,143,1
2024,1,25,49,3.3,90.6,0.00811,81.2,7.4,176,1
2024,1,26,0,3,100,0.00698,137.2,3.1,259,1
2024,1,27,26.8,2.1,100,0.00651,57.8,5.8,159,1
2024,1,28,0.9,2.1,85.3,0.00356,83,10.6,298,1
2024,1,29,0,2.5,100,0.00307,145.4,6.4,344,1
2024,1,30,5.5,3.3,89.5,0.00285,146.8,3.7,216,1
2024,1,31,0,2.9,99.2,0.00312,150.8,5,349,1
2024,2,1,0,3.7,84.5,0.00279,154.8,2.8,318,1
2024,2,2,0,4.5,96.6,0.00387,147.5,4.5,337,1
2024,2,3,0,3.7,100,0.00401,152.1,5.4,119,1
2024,2,4,0,4.7,58.2,0.0028,147,7.7,97,1
