Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion 
2024,1,1,0,2.3,95.9,0.00285,91,3.7,329,1
2024,1,2,0,2.5,84.1,0.00241,126.1,2.8,286,1
2024,1,3,0,1.7,92.5,0.00273,121.7,2.2,226,1
2024,1,4,0,2.4,100,0.00251,128,3.7,359,1
2024,1,5,9.6,2.3,82.8,0.00204,129.8,3.4,79,1
2024,1,6,14.1,2.5,65,0.00294,74.3,3.2,360,1
2024,1,7,0,3,92.3,0.00309,95.2,4.4,276,1
2024,1,8,19.3,2.5,84.2,0.00272,128.8,3.9,74,1
2024,1,9,76.6,1.7,100,0.00541,47.7,9.4,175,1
2024,1,10,0,2.8,99.9,0.00306,112.1,6.2,244,1
2024,1,11,0,2.7,100,0.00338,131.6,2.9,227,1
2024,1,12,19.9,1.5,100,0.00421,77.9,3.3,135,1
2024,1,13,0,3,93.2,0.00277,124.8,5.6,258,1
2024,1,14,0,3.5,71.3,0.00236,135.1,3.4,247,1
2024,1,15,0,1.4,74.1,0.00357,52.8,2,125,1
2024,1,16,2.3,1.1,100,0.00309,102.1,3.2,334,1
2024,1,17,0,2.2,65.4,0.00124,142.9,3,249,1
2024,1,18,0,2.7,73,0.00172,136.4,3.1,205,1
2024,1,19,0,2.8,89.2,0.0023,105.3,5,279,1
2024,1,20,0,2,61.3,0.00105,136.8,4.3,336,1
2024,1,21,0,1.7,67.2,0.00115,144.9,1.5,339,1
2024,1,22,0,2,59.9,0.00136,144.1,1.4,147,1
2024,1,23,4.3,1.8,64.4,0.00324,39.1,1.9,63,1
2024,1,24,11.3,1.9,81.6,0.00564,33.8,2.1,86,1
2024,1,25,27.1,2.7,77.8,0.00849,57.9,3.4,181,1
2024,1,26,0,2.6,100,0.00899,138.7,3.8,218,1
2024,1,27,18,1.2,98.7,0.0079,42.4,3.3,116,1
2024,1,28,0,3,90.7,0.00478,71.1,6,259,1
2024,1,29,0,3.2,96,0.00324,149.4,3.2,346,1
2024,1,30,3.4,2.5,98.5,0.00337,145.6,2.7,144,1
2024,1,31,0,1.7,100,0.004,141.8,2.1,7,1
2024,2,1,0,3.1,99.7,0.00352,160.8,2.7,238,1
2024,2,2,0,3.7,99.6,0.00404,157.8,2.6,323,1
2024,2,3,0,2.6,100,0.00391,146.7,3.6,73,1
2024,2,4,0,3.5,83.3,0.00292,167.5,4.4,62,1
2024,2,5,0,4.5,72.6,0.00301,166.2,4.5,43,1
2024,2,6,0,4.1,85.7,0.00292,169.9,4.7,41,1
2024,2,7,0,3,73.1,0.0024,172.8,2.3,53,1
2024,2,8,0,2.7,77.7,0.00257,168.7,1.8,181,1
2024,2,9,1,3.3,57.1,0.00382,92.5,3.1,219,1
2024,2,10,8.3,4.4,85.1,0.00646,148.7,4.1,217,1
2024,2,11,9,1.8,84.6,0.00826,93.6,3.6,201,1
2024,2,12,10.9,1.6,99.3,0.00719,111,3.4,178,1
2024,2,13,0,4.1,86.2,0.00342,182,5.4,296,1
2024,2,14,0,4.4,76.1,0.003,181,3.1,268,1
2024,2,15,0,5.1,98.8,0.00398,182.6,4.4,231,1
2024,2,16,0,3.5,86.8,0.00458,163.6,3.4,217,1
2024,2,17,0,2.8,89.5,0.00307,175.1,4.4,326,1
2024,2,18,0,3.2,58.7,0.00175,193.1,2.6,269,1
2024,2,19,0,3.3,68.9,0.00207,194.6,1.9,8,1
