Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion 
2024,1,1,0,2.2,78.1,0.00268,109,5,327,1
2024,1,2,0,2.8,83.2,0.00228,124.9,3.3,310,1
2024,1,3,0,2,78.8,0.00233,117.6,2.1,253,1
2024,1,4,0,2.2,96.9,0.00233,126.9,4.9,352,1
2024,1,5,14.1,2.7,64.2,0.00193,128.2,3.7,115,1
2024,1,6,13.9,3.4,75.5,0.0033,84.5,4.9,205,1
2024,1,7,0,2.9,90.9,0.00298,98.2,6.6,293,1
2024,1,8,38.1,3.3,77.5,0.00262,122,6.2,112,1
2024,1,9,85.5,2.5,100,0.00475,50.2,11.7,178,1
2024,1,10,0,3,92,0.00276,122.6,6.6,263,1
2024,1,11,0,3.5,89.4,0.00302,130,3.7,247,1
2024,1,12,20.5,2.3,100,0.00409,67.7,6.7,157,1
2024,1,13,0,3.2,79.3,0.00238,129.9,7.4,271,1
2024,1,14,0,4.6,61.2,0.00225,132.8,5.2,260,1
2024,1,15,1.5,2.1,70.4,0.00345,52.2,3.8,185,1
2024,1,16,0,1.2,100,0.00269,118.5,5.3,311,1
2024,1,17,0,2.5,66.7,0.00106,140.5,3.9,274,1
2024,1,18,0,3.8,60.3,0.00141,130.3,4.8,209,1
2024,1,19,0.3,2.3,100,0.00219,103.5,7.4,296,1
2024,1,20,0,1.7,66.8,0.00097,140.4,7,333,1
2024,1,21,0,2.1,72.9,0.00113,142.8,2.5,24,1
2024,1,22,0,3.4,68.5,0.00154,141.2,3.5,186,1
2024,1,23,6.6,1.8,87.8,0.00406,39.3,3.7,160,1
2024,1,24,13.6,2.7,77.6,0.0058,52.7,4,160,1
2024,1,25,38.4,2,95.1,0.00834,59.1,5,189,1
2024,1,26,0,3.3,100,0.0079,137.8,3.5,242,1
2024,1,27,33.3,1.4,97.4,0.00689,42.9,4.2,136,1
2024,1,28,0,3.4,79.4,0.004,95.8,8.7,286,1
2024,1,29,0,3.3,89.8,0.00308,143.2,5.6,341,1
2024,1,30,2.8,2.7,86,0.00313,146.5,3,181,1
2024,1,31,0,2.1,100,0.00356,148.5,3.7,343,1
2024,2,1,0,3.3,82.4,0.00301,156.7,2.5,273,1
2024,2,2,0,4.5,91.7,0.00358,153.2,4.1,323,1
2024,2,3,0,2.7,100,0.00366,146.8,3,102,1
2024,2,4,0,4,69.5,0.00263,163.2,5.2,84,1
