Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion 
2024,1,1,0,2.8,100,0.00319,120.4,3.6,301,1
2024,1,2,0,2.6,81.6,0.00247,137.1,2.6,289,1
2024,1,3,0,1.6,95,0.00298,120.3,2.2,226,1
2024,1,4,0,2.9,86.9,0.00275,137.9,3.2,11,1
2024,1,5,18.5,3.1,76.4,0.00253,139.1,5,74,1
2024,1,6,1.2,2.4,69.4,0.0035,103.8,3.3,17,1
2024,1,7,0,2.8,96.3,0.0034,136.1,5.2,279,1
2024,1,8,35.1,3,83.6,0.00311,99.4,5.8,80,1
2024,1,9,55.9,1.8,100,0.00625,64.2,9.3,186,1
2024,1,10,0,2.7,94.9,0.00316,140.2,6.4,251,1
2024,1,11,0,3,100,0.00376,140.2,3.1,229,1
2024,1,12,15.7,1.1,100,0.0046,55.8,3.7,124,1
2024,1,13,0,2.6,88.9,0.00296,145.7,6.3,268,1
2024,1,14,0,3.6,77.7,0.00267,145.3,3.7,252,1
2024,1,15,9.5,2.6,76.2,0.00381,115.5,2,173,1
2024,1,16,4.3,1.1,100,0.00344,128.6,3.6,289,1
2024,1,17,0,2.4,67,0.0014,152.8,3,263,1
2024,1,18,0.5,2,78.4,0.00185,148.3,1.6,178,1
2024,1,19,0,2.5,100,0.0027,146.7,5.4,281,1
2024,1,20,0,2,78,0.00139,155.8,3.7,331,1
2024,1,21,0,2.4,63.5,0.0012,157,2.7,55,1
2024,1,22,0,3.1,69.1,0.00179,152.5,3.4,70,1
2024,1,23,1.5,2.3,71.1,0.00415,36.8,4.1,60,1
2024,1,24,19.4,2.7,79.6,0.00597,37,3.8,73,1
2024,1,25,23.2,3.1,79.6,0.00921,85.3,3.4,172,1
2024,1,26,0.7,3.2,99,0.00923,144.8,3.4,223,1
2024,1,27,27.5,1,100,0.00874,67.7,2.9,157,1
2024,1,28,0,3.1,86.4,0.00479,142.8,7.4,267,1
2024,1,29,0,2.9,97,0.00371,158.9,2.6,299,1
2024,1,30,1.3,2.4,93,0.00361,163.1,1.9,218,1
2024,1,31,0,2.5,97.8,0.00385,160.6,2.3,327,1
