Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion 
2024,1,1,0,4.3,92.6,0.00348,127.7,4.7,295,4
2024,1,2,0,3.1,75.5,0.00252,147.4,3.9,327,4
2024,1,3,2,1.6,91.6,0.00311,141.6,1.7,277,4
2024,1,4,0,2.9,94.8,0.00303,147.3,4.3,346,4
2024,1,5,8.1,3.2,94.5,0.00323,148.5,5.1,68,4
2024,1,6,2.7,5.4,82.6,0.0054,89.5,5.3,175,4
2024,1,7,0,3.4,91,0.00387,147.6,5.3,280,4
2024,1,8,4.4,3.9,75.9,0.00374,139.7,5.5,76,4
2024,1,9,38.5,3.8,100,0.00759,65.7,11.4,166,4
2024,1,10,0,3.7,77.8,0.00352,150.3,7.4,260,4
2024,1,11,0,2.7,86.6,0.00348,146.3,2.8,250,4
2024,1,12,0.9,3.1,100,0.00647,72.1,6.6,150,4
2024,1,13,0,3.1,100,0.00432,156.1,6.7,267,4
2024,1,14,0,3.9,61.8,0.00268,158,3,254,4
2024,1,15,0,2.8,100,0.00481,151.1,2.1,149,4
2024,1,16,0.9,0.8,100,0.00563,46.3,3.8,284,4
2024,1,17,0,2.5,64.2,0.00183,164.6,3.6,332,4
2024,1,18,0,2.3,100,0.00358,138.5,2,104,4
2024,1,19,0,4,100,0.00372,158.2,6.3,277,4
2024,1,20,0,2.6,64.3,0.00161,166.7,5.2,338,4
2024,1,21,0,2.8,55.7,0.0013,169.7,3.9,5,4
2024,1,22,0,3,100,0.00278,156.1,3.6,66,4
2024,1,23,0.4,3.5,69,0.00476,72,3.4,81,4
2024,1,24,0.7,5.3,55.4,0.00632,55.6,4.3,128,4
2024,1,25,2.6,4.8,68.5,0.00902,93.1,4.2,166,4
2024,1,26,0,5.1,89.9,0.0094,147,4.5,200,4
2024,1,27,0,4.9,80.3,0.00875,119.8,4.5,164,4
2024,1,28,0,4.5,100,0.00607,166,7.6,256,4
2024,1,29,0,4.3,86.4,0.00355,165.9,4.9,326,4
2024,1,30,2.2,3.2,96.7,0.00385,169.4,2.5,146,4
2024,1,31,0,1.9,100,0.00429,96.3,3.4,341,4
2024,2,1,0,3,92.5,0.00381,175.1,2.6,262,4
2024,2,2,0,3.9,83.1,0.00385,164.7,2.9,282,4
2024,2,3,0,3.4,94.4,0.00375,165.4,5.1,46,4
2024,2,4,9.9,3.2,98.9,0.00431,176.6,7,66,4
2024,2,5,1,4,83.4,0.0047,85.9,7.1,47,4
2024,2,6,0,4.6,76.8,0.00327,184.7,7.2,25,4
2024,2,7,0,4.2,73.4,0.00261,191,4.1,28,4
2024,2,8,0,3.1,97,0.00358,187.8,2.7,80,4
2024,2,9,0,3.5,84.5,0.00543,154.1,2.6,201,4
2024,2,10,0,4.6,88,0.00706,167.4,4,207,4
2024,2,11,24.3,3.4,76.7,0.00813,75.1,3.6,202,4
2024,2,12,34.7,1.5,100,0.00902,87.6,3.6,156,4
2024,2,13,0,4.4,100,0.00466,193.8,6.6,285,4
2024,2,14,0,3.8,75.3,0.00323,198.8,2.3,304,4
2024,2,15,0,4.4,100,0.00466,197.2,3.2,224,4
2024,2,16,0,3.6,82.3,0.00511,170.6,3.3,238,4
2024,2,17,0,3.4,96.5,0.00502,115.6,5.2,320,4
2024,2,18,0,2.6,76,0.0027,186.6,3.2,20,4
2024,2,19,0,3.2,78.3,0.0028,124.1,2.7,14,4
2024,2,20,0,4.2,80.6,0.00299,212.5,3.6,33,4
2024,2,21,0,4.4,71.7,0.00289,214.1,3.2,23,4
2024,2,22,0,4.5,100,0.00425,208.5,3.7,195,4
2024,2,23,0,4.3,100,0.00629,141.7,6.2,242,4
2024,2,24,0,5.9,79.6,0.00385,197,5.2,283,4
2024,2,25,0,5.5,59.6,0.00299,222.7,2.5,329,4
2024,2,26,0,6.1,84.5,0.00432,219.8,3.2,209,4
2024,2,27,1.1,6.3,100,0.00634,139.7,5.4,192,4
2024,2,28,0,3.5,100,0.00783,204.8,7.4,215,4
2024,2,29,0,8.8,56.6,0.00358,200.1,5.5,38,4
2024,3,1,59.3,3,94.3,0.0069,48,7,104,4
2024,3,2,0,3.2,89.5,0.00833,132.2,3.3,184,4
2024,3,3,0,3.2,82.2,0.00798,137.8,2.4,128,4
2024,3,4,0,3.6,100,0.00799,196.6,2.4,46,4
2024,3,5,7.2,4.4,100,0.00787,231.6,3,105,4
2024,3,6,31.4,4.4,84.2,0.0093,172,3.9,166,4
2024,3,7,0,3.8,92.3,0.00809,198.2,2.7,23,4
2024,3,8,12.4,4.8,78.3,0.00756,174.3,6.4,97,4
2024,3,9,16.2,4.6,100,0.0099,152.8,7.6,167,4
2024,3,10,0,5.1,100,0.0051,252.1,6.3,298,4
2024,3,11,0,5.8,62.9,0.00306,256,3.7,297,4
2024,3,12,0,6,79.3,0.00453,251.3,3.3,248,4
2024,3,13,0,6.3,87.2,0.00543,254.5,3.2,251,4
2024,3,14,0,6.2,89.7,0.0059,255.9,2.5,226,4
2024,3,15,3.8,5.7,98.2,0.00865,202.2,4.1,225,4
2024,3,16,0,5,95.1,0.00919,245,2.7,221,4
2024,3,17,1,5.9,73.9,0.00701,170.2,4.6,257,4
2024,3,18,0,4.3,100,0.00567,132.3,4.6,296,4
2024,3,19,0,5.5,55.8,0.00303,275.6,4.5,291,4
2024,3,20,0,7.5,71.8,0.00444,270,4.6,255,4
2024,3,21,0,6.6,80.3,0.00552,269.2,4,72,4
2024,3,22,15.1,5.2,75.4,0.00773,149.1,6.7,119,4
2024,3,23,1.5,4.4,100,0.00797,179.7,5.1,337,4
2024,3,24,0,5.2,80.4,0.00428,280.9,6.5,45,4
2024,3,25,0,5.7,90,0.00505,276.1,5.5,74,4
2024,3,26,0.9,6.1,84.4,0.00762,253.2,6.5,109,4
2024,3,27,24.7,4,97.7,0.00963,170,4.7,135,4
2024,3,28,2.6,2.3,100,0.00675,128.4,4.2,326,4
2024,3,29,0,6.7,72.1,0.00413,274.7,4.2,284,4
2024,3,30,0,8.4,64.4,0.00521,286.7,4.9,242,4
2024,3,31,0,7.9,77,0.00773,281.7,4.3,236,4
2024,4,1,0,7.5,76.6,0.00987,251.4,5.5,228,4
2024,4,2,5.5,7.7,77,0.01044,211.3,5.5,211,4
2024,4,3,18.6,3.3,100,0.00938,137.9,7,228,4
2024,4,4,0,6.5,72.5,0.00451,262.9,6.4,271,4
2024,4,5,0,5.8,76.5,0.00475,270.5,4.4,288,4
2024,4,6,0,5.4,82.6,0.00421,293.8,3.9,345,4
2024,4,7,0,5,72.4,0.00466,291.9,1.9,74,4
2024,4,8,0,5.6,88.2,0.00691,247.4,3.3,178,4
2024,4,9,0,4.1,79.9,0.00786,166.4,2.5,9,4
2024,4,10,16.1,6.5,84.1,0.01002,255,5,145,4
2024,4,11,13.5,4.5,100,0.01104,153.5,9.2,179,4
2024,4,12,0,8,87.7,0.00634,297.5,8.1,263,4
2024,4,13,0,8.3,78.3,0.00506,302.8,5.3,279,4
2024,4,14,0,7.5,80.2,0.00643,300.6,3.2,222,4
2024,4,15,0,8.9,82.6,0.00883,297,4.3,236,4
2024,4,16,0,7.8,84.2,0.00911,284.5,3.5,219,4
2024,4,17,0,6.8,77.4,0.00954,230.2,4.1,209,4
2024,4,18,0,6.8,85.5,0.01065,295.6,2.3,222,4
2024,4,19,0.7,5.8,82.7,0.01154,225.1,2.4,132,4
2024,4,20,40.8,6.5,89,0.01239,264,2.5,221,4
2024,4,21,4.1,3.1,98,0.00835,123.1,5,22,4
2024,4,22,0,4.4,100,0.00525,228.2,4.4,6,4
2024,4,23,0,5.8,80.5,0.00499,316.6,2.4,217,4
2024,4,24,0,7.9,88.8,0.00729,297.2,4.5,246,4
2024,4,25,0,6.5,87.3,0.00932,306.1,2.8,128,4
2024,4,26,0,5.8,95.3,0.00868,248.3,5.8,94,4
2024,4,27,0,6.7,92.6,0.00895,257.4,4.6,117,4
2024,4,28,0,6,100,0.0091,285,3.6,152,4
2024,4,29,0,6.8,87,0.00882,273.3,3.2,183,4
2024,4,30,9.6,6.3,99.2,0.01132,240.8,4,190,4
2024,5,1,0,5.6,100,0.01207,246.5,2.8,172,4
2024,5,2,0,6.7,100,0.0121,315.2,2.8,149,4
2024,5,3,0.9,6.8,95.8,0.01187,305.4,2.9,154,4
2024,5,4,17,5.4,90.3,0.01251,188.7,4.3,144,4
2024,5,5,1.6,6.5,90.4,0.01252,214.1,5,163,4
2024,5,6,19,5.8,100,0.0134,236.5,4.1,194,4
2024,5,7,0,6.8,100,0.01421,264.9,4.1,208,4
2024,5,8,0.4,7.3,100,0.01494,274.2,4.4,214,4
2024,5,9,5.7,4.3,100,0.0145,219.4,5.3,234,4
2024,5,10,0.9,5.1,100,0.01261,274.1,5,266,4
2024,5,11,0,6.7,88.2,0.00797,352.7,3.3,324,4
2024,5,12,0,6.7,88.8,0.00845,347.8,2.1,331,4
2024,5,13,4.2,6.3,88.5,0.01061,242.6,4.3,126,4
2024,5,14,6.4,5.6,92,0.01324,217,5.2,155,4
2024,5,15,11.5,5.4,100,0.01373,219.4,4,228,4
2024,5,16,0,6.2,96.9,0.01215,338.5,1.9,253,4
2024,5,17,0.5,5.7,92.5,0.01364,248.2,3.6,156,4
2024,5,18,0,4.7,100,0.01378,245.5,3.7,210,4
2024,5,19,0,4,100,0.01221,266.9,3.7,51,4
2024,5,20,0,6.5,100,0.01063,297,4.4,65,4
2024,5,21,0,7,100,0.01105,354.1,3.5,100,4
2024,5,22,0,6.9,100,0.01196,354.9,2.1,163,4
2024,5,23,0,7.9,88.9,0.01343,324.6,3.1,197,4
2024,5,24,36.8,7.9,93.8,0.01471,266.9,4.2,210,4
2024,5,25,23.1,5.7,100,0.01526,240.5,2.9,211,4
2024,5,26,0,7.2,92.2,0.01509,312,2.7,201,4
2024,5,27,2,8.2,90.2,0.01588,330.1,4.7,208,4
2024,5,28,0,5.6,100,0.01471,224,2.6,246,4
2024,5,29,0,7.7,89.4,0.01072,355.5,2.3,299,4
2024,5,30,0,7.5,94.6,0.00889,345.5,3,8,4
2024,5,31,0,7.2,100,0.00826,360.2,3.3,30,4
2024,6,1,0,8,91.9,0.00953,355.3,3.5,114,4
2024,6,2,0,6.9,97,0.01244,259.7,3.9,164,4
2024,6,3,0,6.3,100,0.01312,199,3.8,180,4
2024,6,4,0,6.7,100,0.01383,253.3,3.3,181,4
2024,6,5,1.6,7.7,91,0.01459,292.3,4.1,188,4
2024,6,6,2.8,7.6,98.4,0.01654,240.1,5,217,4
2024,6,7,0,6.7,100,0.01522,268.6,3.3,248,4
2024,6,8,0,8,93.1,0.01176,350.2,2.4,15,4
2024,6,9,13.8,9.3,100,0.01329,350.4,3.8,243,4
2024,6,10,11.8,3.8,100,0.01461,227.4,2.5,207,4
2024,6,11,0,6.2,100,0.01401,290.9,3.2,85,4
2024,6,12,0,8.2,98.8,0.01392,351.2,4.4,93,4
2024,6,13,0,7.3,100,0.01475,304.3,4.9,78,4
2024,6,14,0,8.5,98.2,0.01409,352,3.2,72,4
2024,6,15,1.2,7,99.5,0.01546,258.6,2.4,178,4
2024,6,16,0,7.7,99.3,0.01497,281.7,4.3,116,4
2024,6,17,0,6.5,100,0.0133,215.9,4,104,4
2024,6,18,0,8.4,98.7,0.0129,342.7,4.8,96,4
2024,6,19,0,8.6,96.5,0.01333,316.9,5.6,93,4
2024,6,20,0,7.9,100,0.01385,308.5,4.9,95,4
2024,6,21,5.7,7.1,95.7,0.01548,277.1,4.6,107,4
2024,6,22,0,8,97,0.01649,313,4.4,151,4
2024,6,23,4.4,8.1,89.7,0.0164,273.8,4.7,182,4
2024,6,24,24,8.5,100,0.01753,235.5,5.2,216,4
2024,6,25,0,7.2,100,0.0178,262.2,3.5,165,4
2024,6,26,0,8.8,98.8,0.01785,297.5,5.2,181,4
2024,6,27,6.2,6.9,100,0.01752,211.8,4.4,187,4
2024,6,28,1.5,6.6,94.3,0.0164,232.3,3.1,135,4
2024,6,29,1,6.1,92.2,0.01699,200.3,2.5,175,4
2024,6,30,0.8,6.4,100,0.01822,200.1,3.9,191,4
2024,7,1,0.5,5.9,100,0.01669,237.3,3.3,108,4
2024,7,2,0,6.7,94.4,0.01466,239.5,4,102,4
2024,7,3,0,6.8,100,0.01603,288.6,2.7,133,4
2024,7,4,0,8.4,97.9,0.01629,311.2,3.9,175,4
2024,7,5,0,8.8,100,0.01783,273.3,4.7,194,4
2024,7,6,0,9.8,100,0.0179,353.5,4.8,186,4
2024,7,7,0,8.2,98.7,0.01673,361.5,4.1,166,4
2024,7,8,17.7,7,97.6,0.01777,278.6,3.7,181,4
2024,7,9,5.3,5.4,100,0.01793,212.7,3,187,4
2024,7,10,0.7,7.2,100,0.01854,302.7,3.3,193,4
2024,7,11,0,6.7,100,0.01774,288.6,3.1,107,4
2024,7,12,9.1,5.3,92,0.0168,188.6,3.2,140,4
2024,7,13,0,5.5,100,0.0176,248.1,1.9,196,4
2024,7,14,0,7.8,98.3,0.01802,266.3,3.6,205,4
2024,7,15,0.8,8.5,100,0.01837,323.2,3.9,204,4
2024,7,16,5.4,7.8,98.9,0.0177,253.4,4.8,211,4
2024,7,17,1.7,8.1,100,0.01791,250.8,5.5,207,4
2024,7,18,0.4,7.7,100,0.01729,272.3,5.5,212,4
2024,7,19,14.2,6.7,100,0.01675,262.4,4.2,188,4
2024,7,20,2,7.1,100,0.01669,270.4,4.1,197,4
2024,7,21,0,6.4,95.1,0.01638,218.8,3.4,191,4
2024,7,22,4.6,6.9,94.6,0.01669,234.1,3.8,177,4
2024,7,23,18.5,7.2,98.3,0.01717,246.7,3.7,187,4
2024,7,24,20.7,6.4,100,0.0177,224.1,4.2,184,4
2024,7,25,15.2,6,97.5,0.01702,222,4,194,4
2024,7,26,5.8,5.6,96.5,0.01664,236.8,2.7,181,4
2024,7,27,0,6.4,100,0.01579,321.7,3.5,56,4
2024,7,28,0,6.7,100,0.01493,363.7,2.3,122,4
2024,7,29,0,4.8,98.7,0.01519,214.1,3.2,196,4
2024,7,30,13.3,6.2,100,0.01695,248.7,3.3,196,4
2024,7,31,0,6.4,100,0.01804,287.5,3.3,215,4
2024,8,1,0,7.6,92.2,0.01775,262,3.7,216,4
2024,8,2,2.1,7,100,0.01847,212.2,5.3,200,4
2024,8,3,8,7.4,100,0.01731,294.2,5.8,187,4
2024,8,4,3.8,5.3,96.3,0.01648,241.4,3.7,166,4
2024,8,5,39.4,4,95.5,0.01673,182.9,5.4,106,4
2024,8,6,109.7,3.3,93.1,0.01669,125.6,7.8,108,4
2024,8,7,70,3.8,96.9,0.01648,172.2,5.9,69,4
2024,8,8,32.6,4.1,94.6,0.01627,133.2,6.5,177,4
2024,8,9,1.7,5.6,100,0.0183,209.9,3.3,188,4
2024,8,10,9.6,5.5,100,0.01912,195.6,3.5,197,4
2024,8,11,2.2,5.4,100,0.01907,247.5,2.4,179,4
2024,8,12,3.4,4.8,100,0.01907,215.5,2.4,178,4
2024,8,13,13.2,5.2,100,0.0178,242.8,3,102,4
2024,8,14,0,6.2,100,0.01509,308.4,3.6,66,4
2024,8,15,0,6.7,100,0.0143,336.9,2.7,105,4
2024,8,16,0,6,97.4,0.0145,308.5,1.6,148,4
2024,8,17,0,5.8,96.7,0.01586,204.6,3.3,205,4
2024,8,18,3.5,6,100,0.01792,234.5,5.1,207,4
2024,8,19,0.7,5.6,100,0.01641,254.7,2.3,240,4
2024,8,20,2.2,4.1,100,0.01638,196.1,2.2,113,4
2024,8,21,0,4.3,100,0.01462,204.9,4.1,61,4
2024,8,22,0,6.5,100,0.0121,297.7,5.1,50,4
2024,8,23,0,6.2,100,0.01272,302,5.2,63,4
2024,8,24,0,5.9,100,0.01418,279.3,4.9,62,4
2024,8,25,0,5.4,100,0.01563,232.1,3.8,72,4
2024,8,26,0,6.7,100,0.01638,324.9,3.3,93,4
2024,8,27,0,6.7,100,0.01681,325,2.4,142,4
2024,8,28,0,6.6,100,0.01771,302.7,2.7,193,4
2024,8,29,0,6.1,100,0.01777,268.2,2.6,178,4
2024,8,30,0,6.5,100,0.01691,292.1,2.6,170,4
2024,8,31,1.1,5.2,100,0.01641,222,2.3,159,4
2024,9,1,0,6,100,0.01632,220.7,3.2,171,4
2024,9,2,4.5,5.6,100,0.01556,239.9,2.9,97,4
2024,9,3,0,6.3,100,0.01347,238.5,5.8,58,4
2024,9,4,0.4,6.5,98,0.01341,202.8,6.2,72,4
2024,9,5,0,3.9,99.3,0.01394,95.6,4,68,4
2024,9,6,4.6,3.2,96.8,0.01426,95,3.3,75,4
